"Emily Maxwell, Charlotte Wilkins and Stefano Bandera",visit_id,event_position,container,attribute,metadata,placement,result,clicks,impressions,event_start_datetime
20210927,272963,60,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=m0004wx1,iplayer.tv.episode.ghosts.series_1_4_free_pass.m0004wx1.page,p09vczh4,0,1,2021-09-26T23:34:04
20210927,272963,61,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=0~CXT=m0004wx1,iplayer.tv.episode.ghosts.series_1_4_free_pass.m0004wx1.page,p09vczh4,0,1,2021-09-26T23:34:05
20210927,310011,291,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=m0009tq8,iplayer.tv.episode.the_spy_gone_north.m0009tq8.page,p09wwww4,0,1,2021-09-26T23:28:14
20210927,310011,293,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=0~CXT=m0009tq8,iplayer.tv.episode.the_spy_gone_north.m0009tq8.page,p09wwww4,0,1,2021-09-26T23:28:16
20210927,310011,294,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=3~CXT=m0009tq8,iplayer.tv.episode.the_spy_gone_north.m0009tq8.page,p09wwww4,1,0,2021-09-26T23:28:18
20210927,482745,238,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=p09nlf5g,iplayer.tv.episode.write_around_the_world_with_richard_e_grant.series_1_episode_1.p09nlf5g.page,p09vhfqc,0,1,2021-09-27T00:47:08
20210927,482745,240,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=0~CXT=p09nlf5g,iplayer.tv.episode.write_around_the_world_with_richard_e_grant.series_1_episode_1.p09nlf5g.page,p09vhfqc,0,1,2021-09-27T00:47:09
20210927,482745,244,prog-trailer,pre-roll-trailer-complete,APP=responsive::iplayer~CXT=p09nlf5g,iplayer.tv.episode.write_around_the_world_with_richard_e_grant.series_1_episode_1.p09nlf5g.page,p09vhfqc,0,1,2021-09-27T00:47:29
20210927,691332,194,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=m00104fz,iplayer.tv.episode.match_of_the_day_2.2021_22_26_09_2021.m00104fz.page,p09wm3nw,0,1,2021-09-27T01:59:53
20210927,691332,197,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=0~CXT=m00104fz,iplayer.tv.episode.match_of_the_day_2.2021_22_26_09_2021.m00104fz.page,p09wm3nw,0,1,2021-09-27T01:59:54
20210927,691332,198,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=4~CXT=m00104fz,iplayer.tv.episode.match_of_the_day_2.2021_22_26_09_2021.m00104fz.page,p09wm3nw,1,0,2021-09-27T01:59:57
20210927,705705,440,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=m00104fq,iplayer.tv.episode.vigil.series_1_episode_6.m00104fq.page,p09wr3zc,0,1,2021-09-27T21:35:54
20210927,705705,442,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=0~CXT=m00104fq,iplayer.tv.episode.vigil.series_1_episode_6.m00104fq.page,p09wr3zc,0,1,2021-09-27T21:35:55
20210927,705705,447,prog-trailer,pre-roll-trailer-complete,APP=responsive::iplayer~CXT=m00104fq,iplayer.tv.episode.vigil.series_1_episode_6.m00104fq.page,p09wr3zc,0,1,2021-09-27T21:36:14
20210927,719964,253,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=m000zp53,iplayer.tv.episode.vigil.series_1_episode_4.m000zp53.page,p09wr3zc,0,1,2021-09-27T19:37:54
20210927,719964,257,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=0~CXT=m000zp53,iplayer.tv.episode.vigil.series_1_episode_4.m000zp53.page,p09wr3zc,0,1,2021-09-27T19:37:55
20210927,719964,264,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=m00104fq,iplayer.tv.episode.vigil.series_1_episode_6.m00104fq.page,p09wr3zc,0,1,2021-09-27T19:37:58
20210927,719964,265,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=1~CXT=m00104fq,iplayer.tv.episode.vigil.series_1_episode_6.m00104fq.page,p09wr3zc,1,0,2021-09-27T19:38:00
20210927,719964,366,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=m00104fq,iplayer.tv.episode.vigil.series_1_episode_6.m00104fq.page,p09wr3zc,0,1,2021-09-27T20:43:42
20210927,719964,367,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=0~CXT=m00104fq,iplayer.tv.episode.vigil.series_1_episode_6.m00104fq.page,p09wr3zc,0,1,2021-09-27T20:43:43
20210927,804493,39,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=m00103yb,iplayer.tv.episode.match_of_the_day.2021_22_25_09_2021.m00103yb.page,p09wm3nw,0,1,2021-09-26T23:05:36
20210927,804493,41,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=0~CXT=m00103yb,iplayer.tv.episode.match_of_the_day.2021_22_25_09_2021.m00103yb.page,p09wm3nw,0,1,2021-09-26T23:05:37
20210927,804493,45,prog-trailer,pre-roll-trailer-complete,APP=responsive::iplayer~CXT=m00103yb,iplayer.tv.episode.match_of_the_day.2021_22_25_09_2021.m00103yb.page,p09wm3nw,0,1,2021-09-26T23:05:56
20210927,836931,90,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=m00103ms,iplayer.tv.episode.the_last_mountain.m00103ms.page,p09ws3qg,0,1,2021-09-26T23:08:18
20210927,836931,94,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=2~CXT=m00103ms,iplayer.tv.episode.the_last_mountain.m00103ms.page,p09ws3qg,0,1,2021-09-26T23:08:19
20210927,836931,95,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=3~CXT=m00103ms,iplayer.tv.episode.the_last_mountain.m00103ms.page,p09ws3qg,1,0,2021-09-26T23:08:21
20210927,1110072,130,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=p09vy6fq,iplayer.tv.episode.comedy_threesomes.peck_eds_episode_1.p09vy6fq.page,p09vxp6d,0,1,2021-09-26T23:46:01
20210927,1110072,131,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=0~CXT=p09vy6fq,iplayer.tv.episode.comedy_threesomes.peck_eds_episode_1.p09vy6fq.page,p09vxp6d,0,1,2021-09-26T23:46:02
20210927,1110072,132,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=4~CXT=p09vy6fq,iplayer.tv.episode.comedy_threesomes.peck_eds_episode_1.p09vy6fq.page,p09vxp6d,1,0,2021-09-26T23:46:06
20210927,1279311,59,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=m000zgwp,iplayer.tv.episode.silent_witness.series_24_1_redemption_part_1.m000zgwp.page,p09wm3nw,0,1,2021-09-26T23:55:10
20210927,1279311,61,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=0~CXT=m000zgwp,iplayer.tv.episode.silent_witness.series_24_1_redemption_part_1.m000zgwp.page,p09wm3nw,0,1,2021-09-26T23:55:11
20210927,1279311,62,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=2~CXT=m000zgwp,iplayer.tv.episode.silent_witness.series_24_1_redemption_part_1.m000zgwp.page,p09wm3nw,1,0,2021-09-26T23:55:13
20210927,1309841,67,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=p08qysm5,iplayer.tv.episode.ghosts.series_2_1_the_grey_lady.p08qysm5.page,p09vczh4,0,1,2021-09-27T01:31:47
20210927,1309841,76,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=2~CXT=p08qysm5,iplayer.tv.episode.ghosts.series_2_1_the_grey_lady.p08qysm5.page,p09vczh4,0,1,2021-09-27T01:31:50
20210927,1309841,81,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=p08qyvrv,iplayer.tv.episode.ghosts.series_2_3_redding_weddy.p08qyvrv.page,p09vxp6d,0,1,2021-09-27T01:31:57
20210927,1309841,82,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=1~CXT=p08qyvrv,iplayer.tv.episode.ghosts.series_2_3_redding_weddy.p08qyvrv.page,p09vxp6d,1,0,2021-09-27T01:31:59
20210927,1309841,155,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=p08qyx1t,iplayer.tv.episode.ghosts.series_2_4_the_thomas_thorne_affair.p08qyx1t.page,p09vczh4,0,1,2021-09-27T02:00:56
20210927,1309841,158,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=0~CXT=p08qyx1t,iplayer.tv.episode.ghosts.series_2_4_the_thomas_thorne_affair.p08qyx1t.page,p09vczh4,0,1,2021-09-27T02:00:57
20210927,1309841,159,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=1~CXT=p08qyx1t,iplayer.tv.episode.ghosts.series_2_4_the_thomas_thorne_affair.p08qyx1t.page,p09vczh4,1,0,2021-09-27T02:00:58
20210927,1309841,386,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=m000qpzk,iplayer.tv.episode.ghosts.the_ghost_of_christmas.m000qpzk.page,p09vczh4,0,1,2021-09-27T03:43:44
20210927,1309841,387,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=0~CXT=m000qpzk,iplayer.tv.episode.ghosts.the_ghost_of_christmas.m000qpzk.page,p09vczh4,0,1,2021-09-27T03:43:45
20210927,1309841,388,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=1~CXT=m000qpzk,iplayer.tv.episode.ghosts.the_ghost_of_christmas.m000qpzk.page,p09vczh4,1,0,2021-09-27T03:43:46
20210927,1443864,54,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=m000zzd9,iplayer.tv.episode.roaming_in_the_wild.series_2_1_doon_the_kelvin.m000zzd9.page,p09w5d7k,0,1,2021-09-27T00:23:38
20210927,1443864,57,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=0~CXT=m000zzd9,iplayer.tv.episode.roaming_in_the_wild.series_2_1_doon_the_kelvin.m000zzd9.page,p09w5d7k,0,1,2021-09-27T00:23:39
20210927,1443864,62,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=4~CXT=m000zzd9,iplayer.tv.episode.roaming_in_the_wild.series_2_1_doon_the_kelvin.m000zzd9.page,p09w5d7k,1,0,2021-09-27T00:23:48
20210927,1443864,75,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=m000zzd9,iplayer.tv.episode.roaming_in_the_wild.series_2_1_doon_the_kelvin.m000zzd9.page,p09w5d7k,0,1,2021-09-27T00:24:37
20210927,1443864,78,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=0~CXT=m000zzd9,iplayer.tv.episode.roaming_in_the_wild.series_2_1_doon_the_kelvin.m000zzd9.page,p09w5d7k,0,1,2021-09-27T00:24:38
20210927,1443864,82,prog-trailer,pre-roll-trailer-complete,APP=responsive::iplayer~CXT=m000zzd9,iplayer.tv.episode.roaming_in_the_wild.series_2_1_doon_the_kelvin.m000zzd9.page,p09w5d7k,0,1,2021-09-27T00:24:57
20210927,1447184,25,prog-trailer,pre-roll-trailer-start,APP=responsive::iplayer~CXT=m00104fz,iplayer.tv.episode.match_of_the_day_2.2021_22_26_09_2021.m00104fz.page,p09wm3nw,0,1,2021-09-27T00:20:05
20210927,1447184,27,prog-trailer,skip-pre-roll-trailer,APP=responsive::iplayer~TME=0~CXT=m00104fz,iplayer.tv.episode.match_of_the_day_2.2021_22_26_09_2021.m00104fz.page,p09wm3nw,0,1,2021-09-27T00:20:06
