date,visit_id,age_range,frequency_group_aggregated
20210927,16023372,16-24,weekly
20210927,29551233,55+,weekly
20210927,10443423,16-24,infrequent
20210930,11212965,35-44,weekly
20210929,13732091,35-44,infrequent
20210928,18676521,45-54,weekly
20210930,8967213,35-44,infrequent
20210928,15353543,35-44,weekly
20210929,16868741,45-54,weekly
20210929,25451641,25-34,weekly
20210927,29188652,55+,infrequent
20210928,13639074,25-34,weekly
20211001,2366763,45-54,weekly
20210930,5419201,55+,infrequent
20211001,11380293,16-24,infrequent
20211002,9056442,25-34,weekly
20210927,26104275,35-44,weekly
20210930,13877731,25-34,weekly
20211001,22136021,35-44,infrequent
20210930,21877083,35-44,weekly
20210930,14706502,16-24,reacquired
20210930,12424693,16-24,infrequent
20211003,17384154,55+,infrequent
20210929,23205621,16-24,weekly
20210930,19913715,Unknown,weekly
20211002,28616081,55+,reacquired
20211002,28022502,25-34,weekly
20211003,25364643,45-54,weekly
20211002,25774023,55+,weekly
20211002,3585802,45-54,weekly
20211002,66501,25-34,infrequent
20211003,9023303,Unknown,weekly
20210930,24039773,25-34,weekly
20210928,31508645,45-54,weekly
20210927,1593593,45-54,weekly
20210927,18407162,Unknown,weekly
20210929,23765993,25-34,weekly
20210928,21955274,35-44,infrequent
20210930,23321931,35-44,weekly
20210929,17612671,Unknown,weekly
20211001,568141,25-34,weekly
20210929,1443864,55+,weekly
20210929,18720001,55+,weekly
20211002,28430364,45-54,weekly
20210928,28632692,Unknown,weekly
20211001,25676221,25-34,weekly
20211003,9322045,25-34,weekly
20210929,5741312,Under 13,infrequent
20210929,24089013,16-24,weekly
20210930,22584135,25-34,infrequent
20211002,25515813,16-24,weekly
20211003,18563401,25-34,weekly
20211003,3065791,55+,weekly
20210930,16674875,Unknown,weekly
20210928,24324352,35-44,weekly
20210928,4992264,55+,weekly
20211003,7926243,16-24,infrequent
20211003,28159932,Unknown,weekly
20210930,22610103,35-44,weekly
20211002,14134164,25-34,infrequent
20211001,9390922,16-24,infrequent
20210930,14020681,35-44,weekly
20210928,31239351,25-34,weekly
20211002,20048172,45-54,weekly
20211003,12384202,45-54,infrequent
20211001,5161611,45-54,weekly
20211001,24492292,16-24,weekly
20211003,20492453,16-24,infrequent
20210929,20355431,35-44,weekly
20210929,13742724,55+,infrequent
20210929,13492374,35-44,infrequent
20210927,9724465,35-44,weekly
20210928,2521885,35-44,infrequent
20210927,6546731,35-44,weekly
20210929,12641934,35-44,weekly
20210927,14030291,45-54,infrequent
20210927,25522574,55+,weekly
20210927,5262544,25-34,weekly
20210927,9124064,13-15,infrequent
20210927,2230953,45-54,weekly
20211002,7051283,25-34,infrequent
20210930,948491,25-34,reacquired
20211001,9101251,55+,infrequent
20210929,14063012,55+,weekly
20210928,23194605,55+,weekly
20211003,21260401,13-15,infrequent
20211002,14752492,Unknown,infrequent
20211003,3034543,55+,weekly
20210928,18508924,55+,weekly
20210929,5835281,55+,infrequent
20211003,25806484,55+,weekly
20211003,10355673,25-34,weekly
20210929,5930805,16-24,infrequent
20211003,15691565,55+,infrequent
20211002,25355554,25-34,infrequent
20211003,32294752,25-34,weekly
20211003,21881721,55+,weekly
20211003,33227665,16-24,infrequent
20210929,25001123,55+,weekly
20211003,32804711,Unknown,weekly
20210928,17807542,16-24,infrequent
20210929,9259065,16-24,weekly
20210927,6910824,35-44,weekly
20211001,6198552,35-44,weekly
20210927,3301831,25-34,weekly
20211001,9625532,25-34,weekly
20210929,3353764,16-24,weekly
20211001,5223514,25-34,weekly
20210929,21678562,55+,weekly
20210929,3750592,35-44,new
20210929,16124865,Unknown,weekly
20210928,9626264,Unknown,weekly
20210930,10140115,Unknown,weekly
20210928,11687404,55+,weekly
20211001,11683144,55+,weekly
20210929,22272582,Unknown,weekly
20211001,11518581,35-44,weekly
20210928,17640305,55+,reacquired
20211002,27241165,55+,weekly
20211003,24741535,35-44,weekly
20210929,21214814,35-44,infrequent
20210929,25322873,16-24,weekly
20210929,7432734,16-24,infrequent
20210930,16825303,45-54,weekly
20211001,8669443,16-24,weekly
20211003,32007724,35-44,weekly
20211003,2109573,25-34,weekly
20210929,21029761,55+,weekly
20211002,21038625,16-24,weekly
20210927,5597015,Unknown,weekly
20210929,23323264,25-34,infrequent
20211001,17879083,25-34,weekly
20211001,23327455,25-34,reacquired
20210928,17896444,25-34,weekly
20211001,6951811,25-34,weekly
20210930,26175323,55+,weekly
20210928,9892385,25-34,infrequent
20211001,14528423,35-44,weekly
20211002,7635621,25-34,weekly
20210929,14950084,Unknown,weekly
20210927,28993891,45-54,weekly
20211001,968364,25-34,weekly
20210928,12880414,16-24,weekly
20210927,15297703,55+,infrequent
20211003,25223081,35-44,weekly
20210928,19174873,Unknown,weekly
20210930,1321933,45-54,weekly
20210928,9670313,25-34,weekly
20211001,22881803,16-24,weekly
20211001,9420852,25-34,infrequent
20210930,10549105,45-54,weekly
20211003,32998841,55+,weekly
20211002,16723112,55+,infrequent
20210929,17698135,25-34,weekly
20210928,23334865,55+,weekly
20211001,7733065,Unknown,weekly
20211003,17470091,35-44,weekly
20210927,15750782,55+,weekly
20210927,12172405,25-34,infrequent
20210927,6796071,16-24,infrequent
20210930,19136405,45-54,weekly
20210930,2234472,55+,weekly
20210928,18042935,55+,weekly
20210928,17290873,45-54,weekly
20210930,18617754,Unknown,weekly
20210927,1279311,Unknown,weekly
20210927,1740081,35-44,infrequent
20210928,3908501,45-54,weekly
20210928,29217224,35-44,weekly
20211003,1893913,35-44,infrequent
20210929,1325162,45-54,weekly
20210930,17012752,25-34,infrequent
20210927,12334063,45-54,weekly
20210928,5814374,25-34,weekly
20210928,21670712,25-34,weekly
20210929,9558315,45-54,weekly
20211003,17063484,55+,weekly
20211001,5096461,16-24,weekly
20210928,25604525,16-24,weekly
20210927,28238964,Unknown,weekly
20210930,10581385,16-24,infrequent
20211001,19239954,55+,infrequent
20211002,20396134,16-24,infrequent
20211003,26653842,45-54,weekly
20210928,31907783,35-44,weekly
20211001,21248312,Unknown,weekly
20211001,8415551,25-34,infrequent
20210927,7072824,45-54,infrequent
20210927,25780561,25-34,reacquired
20210928,24034624,Unknown,weekly
20211001,14094834,45-54,weekly
20210928,9460314,35-44,weekly
20210927,29145712,55+,infrequent
20210928,18484294,45-54,weekly
20210930,13282683,35-44,weekly
20210929,3203373,45-54,infrequent
20210927,12179582,25-34,weekly
20211001,25533894,Unknown,weekly
20211003,8091915,35-44,weekly
20210927,20287454,55+,weekly
20210928,16349654,55+,new
20210930,6834141,55+,new
20210930,23556265,35-44,weekly
20210927,17364462,35-44,weekly
20210927,26690731,55+,weekly
20211001,24692351,55+,weekly
20211003,30207822,45-54,weekly
20210928,27341804,55+,weekly
20210927,11947141,55+,weekly
20210927,21514672,16-24,infrequent
20210927,14751652,55+,weekly
20210930,10551664,55+,weekly
20210927,9343504,55+,weekly
20210929,23185833,35-44,weekly
20210927,11617593,25-34,weekly
20210928,11602751,45-54,weekly
